day_ne,day_ne_z,night_ne,night_ne_z,nu,nu_z
283352.3034,51738.31202,141943.3544,60899.95576,321233957.2,50129.03567
344129.9142,52003.08706,172910.7222,61638.55346,282971288,50818.23906
416329.6422,52275.68074,209693.4847,62288.66243,242043655.9,51720.89393
507591.152,52533.11332,254307.7637,62960.19975,202802384.1,52728.18007
611703.4322,52800.19246,308405.8668,63610.30872,169936795.9,53782.60807
745797.1837,53063.33926,374016.1118,64268.98904,142380091.9,54766.32329
898761.5846,53324.70418,453589.1515,64936.24069,119298676.2,55783.03781
1089428.236,53591.24571,550079.7672,65586.34966,99958211.83,56795.03814
1320536.529,53853.50156,667096.5328,66236.45864,83753860.43,57811.75265
1569489.069,54091.05428,809031.9989,66912.28163,70175850.98,58823.75299
1940264.801,54390.87029,981134.8709,67562.3906,58798607.35,59831.03913
2331376.364,54636.43275,1189835.865,68203.92824,49267485.67,60857.18202
2952323.114,54977.86993,1442984.738,68875.46556,41280338.78,61869.18235
3578553.463,55225.12595,1749974.626,69538.43154,34587773.39,62876.46849
4397201.462,55523.11112,2122229.905,70184.25484,28980705.96,63893.18301
5257913.388,55753.92333,2573726.795,70847.22083,24282803.07,64914.61171
6600295.056,56076.52428,3121294.822,71514.47248,20346287.33,65931.32623
7930809.813,56327.22954,3785339.232,72177.43846,17047650.2,66938.61237
10042902.13,56650.66691,4590632.066,72836.11878,14284149.36,67960.04107
11962115.8,56875.4884,5567242.848,73494.79909,11452701.2,69325.98322
15016323.99,57208.56543,6751617.747,74153.4794,9426185.529,70340.7918
17730723.26,57443.24086,8188088.498,74825.01672,7828379.731,71395.18518
22452792.55,57770.74961,9930021.939,75483.69704,6559364.138,72416.61388
26511645.63,58011.85354,12042728.35,76155.23436,5496194.631,73452.18514
33572532.21,58345.7908,14604776.12,76818.20034,4605013.954,74445.32873
39987911.47,58562.99332,17712176.03,77494.02333,3858458.241,75457.32906
50197161.9,58886.54664,21480147.82,78148.41798,3232880.523,76459.90102
58243464.24,59098.90658,26050253.13,78819.9553,2708903.404,77500.18646
73769771.49,59586.77082,31591673.04,79465.7786,2249614.438,78525.86617
89442876.86,60061.16733,37228281.51,80105.85244,1902312.82,79554.16666
108469200.2,60706.99063,44599425.25,80625.38314,1617597.444,80416.58744
129318617.6,61677.04247,54406780.74,81336.47492,1420488.632,81230.10356
150209454,62749.09587,65982694.27,82012.29791,1200847.54,82227.0436
171449393.6,63793.79982,80020708.64,82679.54956,1006160.41,83234.32974
190628469.6,64814.76515,97044309.25,83338.22988,835655.5827,84321.29386
210150548.9,65986.81084,117690142.1,84001.19586,693985.134,85358.11618
222147750,67098.15658,142727535.6,84659.87617,586663.3993,86339.86606
243244699.8,68348.90203,173089522.3,85309.98514,493245.1646,87460.43511
278923012.8,69644.63419,209914832.8,85977.2368,413474.3344,88488.34068
332959232.1,70966.82486,254572101.3,86635.91711,348184.8499,89367.61614
400435597.2,71928.9513,308733072.7,87303.16876,291740.1661,90384.33065
485712981.8,72733.34439,374416951.8,87970.42042,244457.627,91429.33028
589053028.3,73404.88171,454072831.2,88633.3864,204826.6422,92441.33061
714379650.4,74076.41903,550681135.3,89304.92372,171620.5539,93453.33094
866398636.7,74773.67037,667833006,89963.60403,143801.2491,94479.47383
1050772697,75475.20738,809903405.9,90617.99868,,
1274327027,76142.03047,982218041.8,91289.536,,
1545519471,76848.28172,1191175047,91948.21631,,
1874403844,77545.53306,1444616607,92624.0393,,
2273298783,78251.35574,1751944254,93282.71962,,
2757083204,78957.17842,2124664185,93945.6856,,
3343840548,79667.28677,2576651265,94600.08024,,
4069791367,80403.78656,,,,
4918574661,81091.78914,,,,
5965336615,81801.89749,,,,
7249111379,82533.33435,,,,
8774532677,83217.82852,,,,
10716869554,83955.86287,,,,
12781499370,84599.49721,,,,
15653317324,85339.58223,,,,
19050990999,86047.7966,,,,
22712246113,86686.21287,,,,
27924116892,87444.19326,,,,
34197812636,88173.80221,,,,
39309295789,88645.94437,,,,
